business_name,addres_1,addres_1,city,state,postal_code,phone_number,website,status
Andros Restaurant,6 Wilson Ave,Newark,NJ,07105,(973) 344-2626,https://www.androsdinermenu.com/,OPERATIONAL
Joia Restaurant,1100 Frank E Rodgers Blvd S,Harrison,NJ,07029,(862) 872-3448,http://joiarestaurant.com/,OPERATIONAL
Adega Grill,130 Ferry St,Newark,NJ,07105,(973) 589-8830,https://www.adegagrill.com/,OPERATIONAL
Tops Diner,500 Passaic Ave,East Newark,NJ,07029,(973) 481-0490,https://www.thetopsdiner.com/,OPERATIONAL
Sol-Mar Restaurant,267 Ferry St,Newark,NJ,07105,(973) 344-3041,http://www.solmar-restaurant.com/,OPERATIONAL
Don Pepe Restaurant,844 McCarter Hwy,Newark,NJ,07102,(973) 623-4662,,OPERATIONAL
Krug's Tavern,118 Wilson Ave,Newark,NJ,07105,(973) 465-9795,http://krugstavern.com/,OPERATIONAL
Campino Restaurant,70 Jabez St,Newark,NJ,07105,(973) 589-4004,http://www.campinorestaurant.com/,OPERATIONAL
Seabra's Marisqueira,87 Madison St,Newark,NJ,07105,(973) 465-1250,http://seabrasmarisqueira.com/,OPERATIONAL
Brasilia Grill,99 Monroe St,Newark,NJ,07105,(973) 589-8682,http://www.brasiliagrill.net,OPERATIONAL
Fernandes Steak House II,158 Fleming Ave,Newark,NJ,07105,(973) 589-4099,http://www.fernandessteakhouse.com/,OPERATIONAL
Don Manuel Restaurant,130 Main St,Newark,NJ,07105,(973) 344-3614,http://don-manuel.edan.io/,OPERATIONAL
Spanish Tavern,103 McWhorter St,Newark,NJ,07105,(973) 589-4959,https://spanishtavernnewark.com/,OPERATIONAL
"Bello's Pub and Grill, Newark's First Gastropub",376 Market St,Newark,NJ,07105,(973) 465-0052,https://www.bellospubandgrill.com/,OPERATIONAL
Hamburgao - Newark NJ,288 Lafayette St,Newark,NJ,07105,(973) 465-1776,https://www.hamburgao.us/,OPERATIONAL
Maize,50 Park Pl,Newark,NJ,07102,,http://www.maizerestaurant.com/,OPERATIONAL
Yocateo Restaurant, Dawson St,Newark,NJ,07114,(908) 838-1901,,OPERATIONAL
Burger Bound Newark - Bar Restaurant,62 Van Buren St,Newark,NJ,07105,(973) 732-9750,http://www.burgerbound.com/,OPERATIONAL
Junior's Restaurant & Bakery,386 Flatbush Ave Ext,Newark,NY,11201,(718) 852-5257,http://www.juniorscheesecake.com/,OPERATIONAL
Market Street Bar & Grill,1048 Raymond Blvd,Newark,NJ,07102,(973) 622-5000,https://doubletree3.hilton.com/en/hotels/new-jersey/doubletree-by-hilton-newark-penn-station-EWRHDDT/dining/index.html,OPERATIONAL
Iberia Tavern & Restaurant,80-84 Ferry St,Newark,NJ,07105,(973) 344-7603,http://www.iberiarestaurants.com/,OPERATIONAL
PortuCale Restaurant & Bar,129 Elm St,Newark,NJ,07105,(973) 344-4407,http://www.portucalerestaurantnwk.com/,OPERATIONAL
Chateau of Spain Restaurant,11 Franklin St,Newark,NJ,07102,(973) 624-3346,http://www.chateauofspain.com/,OPERATIONAL
SAGRES BAR AND GRILL, Prospect St,Newark,NJ,07105,(973) 589-4070,https://www.instagram.com/sagres_bar/,OPERATIONAL
Nuestra Casa Bar & Restaurant,195 Ferry St,Newark,NJ,07105,(973) 344-7016,,OPERATIONAL
Bonefish Grill,200 Mill Creek Dr,Secaucus,NJ,07094,(201) 864-3004,https://locations.bonefishgrill.com/new-jersey/secaucus/200-mill-creek-drive,OPERATIONAL
Lancer's Restaurant,459 Ferry St,Newark,NJ,07105,(973) 344-2662,,OPERATIONAL
Ah' Pizz,615 Frank E Rodgers Blvd S,Harrison,NJ,07029,(973) 485-9200,https://www.ahpizz.com/,OPERATIONAL
Picnic Seafood and Grill,233 Ferry St,Newark,NJ,07105,(973) 589-4630,https://picnicferry.com/,OPERATIONAL
Ambrosia,20 Frontage Rd,Newark,NJ,07114,(973) 344-4204,http://ambrosia-newark.keeq.io/,OPERATIONAL
Applebee's Grill + Bar,383 Springfield Ave,Newark,NJ,07103,(973) 242-3600,https://restaurants.applebees.com/en-us/nj/newark/383-springfield-avenue-75023?utm_source=google&utm_medium=organic&utm_campaign=google_my_business&utm_term=75023&utm_content=website,OPERATIONAL
Casa Seabra,255 Jefferson St,Newark,NJ,07105,(973) 465-1966,,CLOSED_TEMPORARILY
Pour Abbey's Bar & Grill,107 Hawkins St,Newark,NJ,07105,(973) 522-1000,,OPERATIONAL
Spanish Sangria,157 Magazine St,Newark,NJ,07105,(973) 344-9286,http://www.spanishsangriarestaurant.com/,OPERATIONAL
Urban Tandoor,206 Harrison Ave,Harrison,NJ,07029,(973) 497-1000,http://urbantandoornj.com/,OPERATIONAL
Mompou Tapas Bar & Restaurant,77 Ferry St,Newark,NJ,07105,(973) 578-8114,http://www.mompoutapas.com/,OPERATIONAL
Cervejaria Vianense Restaurant,102 Van Buren St,Newark,NJ,07105,,,OPERATIONAL
Taste of Portugal,148 Delancy St,Newark,NJ,07105,(973) 274-0600,http://www.tasteofportugalnj.com/,OPERATIONAL
Coimbra Restaurant,637-641 Market St,Newark,NJ,07105,(973) 491-9811,http://www.coimbrarestaurant.com/,OPERATIONAL
Estrela Ponderosa,85 Niagara St,Newark,NJ,07105,(973) 344-4484,,OPERATIONAL
Junior's Restaurant & Bakery, W 45th St,New York,NY,10036,(212) 302-2000,https://www.juniorscheesecake.com/blog/restaurants/times-square/,OPERATIONAL
Manu's Kitchen Bar & Sushi Lounge,90 Ferry St,Newark,NJ,07105,(973) 465-5600,http://www.manussushilounge.com/,OPERATIONAL
Casa d'Paco,73 Warwick St,Newark,NJ,07105,(862) 343-6300,http://bit.ly/2vdIePG,OPERATIONAL
Cortico Bar Restaurant,112 Pulaski St,Newark,NJ,07105,(973) 578-4499,http://www.corticobar.com/,OPERATIONAL
Casa Vasca,141 Elm St,Newark,NJ,07105,(973) 465-1350,https://www.casavasca.net/,OPERATIONAL
Central Restaurant,30 Central Ave,Newark,NJ,07102,(973) 623-8137,http://www.facebook.com/pages/Central-Restaurant/111649452205238,OPERATIONAL
Fornos of Spain,47 Ferry St,Newark,NJ,07105,(973) 589-4767,http://www.fornosrestaurant.com/,OPERATIONAL
La Cocina,61 New St,Newark,NJ,07102,(973) 856-6777,https://www.lacocinanewark.com/,OPERATIONAL
Tony Da Caneca,72 Elm Rd,Newark,NJ,07105,(973) 589-6882,http://www.tonydacaneca.com/,OPERATIONAL
Resa Grill,12 Lock St,Newark,NJ,07103,(862) 237-7050,http://www.resagrill.com/,OPERATIONAL
La Fiamma,440 Harrison Ave,Harrison,NJ,07029,(973) 483-5455,http://www.lafiammanj.com/,OPERATIONAL
Wilson Restaurant and Cafe,147 Wilson Ave,Newark,NJ,07105,(973) 589-4443,,OPERATIONAL
Playball Restaurant,50 Ferry St,Newark,NJ,07105,(973) 589-4466,http://restaurantwebx.com/PlayballRestaurant/,OPERATIONAL
Eli's @ Andros,6 Wilson Ave,Newark,NJ,07105,(973) 344-2626,,OPERATIONAL
Pages Restaurant On the Mall,150 Halsey St,Newark,NJ,07102,(973) 623-6284,http://pages-on-the-mall.edan.io/,OPERATIONAL
The Bite Club,11 Frank E Rodgers Blvd S,Harrison,NJ,07029,(973) 484-9193,https://www.biteclubnj.com/,OPERATIONAL
Deluxe Diner,561 Broad St,Newark,NJ,07102,(973) 624-1532,https://www.deluxedinernj.com/,OPERATIONAL
Sabor Unido,77 Jefferson St,Newark,NJ,07105,(973) 368-8553,https://ordering.orders2.me/menu/saborunido,OPERATIONAL
Sombras Del Pacifico Restaurant,77 Jefferson St,Newark,NJ,07105,,,OPERATIONAL
The Taste of Brazil | Newark,37 Merchant St,Newark,NJ,07105,(862) 237-7770,http://www.ttobrestaurant.com/,OPERATIONAL
